,C1 A,C1 B,C2,C3,C4,C5,C7,H1,H2,H3,H4,H5,H6
REACTOME_2_LTR_CIRCLE_FORMATION,-0.19559779889945,-0.0430215107553777,-0.0820410205102551,-0.023511755877939,0.0100050025012506,-0.0605302651325663,-0.173586793396698,-0.188594297148574,-0.101550775387694,0.00750375187593795,-0.0780390195097548,-0.0160080040020011,-0.132066033016508
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,0.0547179820757403,0.207204933419142,0.0754050643991011,0.144576131991598,0.168190660468356,0.146907820724235,0.0536310647822207,0.0219651770118746,0.0966710586169044,0.116134512505134,0.132746230082683,0.137806290418736,0.0732541097049579
REACTOME_ABC_TRANSPORTER_DISORDERS,0.0149125475888222,0.199808733756147,0.0389419834632131,0.120350663787109,0.148257694502855,0.124498159155554,0.020780352262835,-0.0176796274009435,0.0650217961021422,0.0868299700898518,0.103264067525318,0.111785960074904,0.0352527625210682
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,-0.35367683841921,-0.380190095047524,-0.345172586293147,-0.340670335167584,-0.321660830415208,-0.371185592796398,-0.374687343671836,-0.448224112056028,-0.394697348674337,-0.333166583291646,-0.377188594297149,-0.390695347673837,-0.375187593796898
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,-0.0128346251021747,0.0103874429066859,0.0029659871753523,0.0438160133174231,0.0423134075877856,0.0494195581267857,0.00771693288402059,-0.0285020258483327,-0.00254825205700136,-0.0105818458782362,0.0192581438995284,0.0607582216542559,0.012372056254977
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS,0.027026993276968,-0.110610472485369,0.032031992031962,-0.0420419895419502,-0.0255254936504698,-0.070069982569917,-0.013513496638484,0.0370369907869561,0.0305304924054639,0.072572481947414,0.029529492654465,-0.027026993276968,0.118618470493359
REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS,-0.0580290145072536,-0.16608304152076,-0.0215107553776889,-0.0835417708854427,-0.110555277638819,-0.11255627813907,-0.0940470235117559,-0.023511755877939,-0.0295147573786893,-0.108054027013507,-0.0940470235117559,-0.072536268134067,0.00500250125062534
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION,0.0970485242621311,0.0225112556278139,-0.132566283141571,-0.106053026513257,-0.159579789894947,-0.133066533266633,0.253126563281641,0.0245122561280641,0.0795397698849424,-0.106053026513257,-0.168584292146073,0.00250125062531261,-0.127563781890945
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5,0.302651325662831,0.147073536768384,0.269634817408704,0.263131565782892,0.309654827413707,0.215607803901951,0.242121060530265,0.293646823411706,0.279139569784892,0.274137068534267,0.32016008004002,0.269634817408704,0.31815907953977
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3,0.302651325662831,0.147073536768384,0.269634817408704,0.263131565782892,0.309654827413707,0.215607803901951,0.242121060530265,0.293646823411706,0.279139569784892,0.274137068534267,0.32016008004002,0.269634817408704,0.31815907953977
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN,0.366002903624964,0.25389440693206,0.369337272889527,0.347093557303787,0.370078773412379,0.322781364659035,0.332297156672391,0.365381341638242,0.347798183034692,0.355397060346713,0.384507754734515,0.349799359444176,0.377336855422659
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K,0.302651325662831,0.147073536768384,0.269634817408704,0.263131565782892,0.309654827413707,0.215607803901951,0.242121060530265,0.293646823411706,0.279139569784892,0.274137068534267,0.32016008004002,0.269634817408704,0.31815907953977
