"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.78490742278317e-154,1.79991991421587,0.116,0.048,3.57873938268025e-151,"0","LL22NC03-86D4.1"
2.25977854382977e-128,1.74812774188032,0.108,0.048,4.53085598037868e-125,"0","DCDC2"
2.51813979893761e-128,1.74755336587935,0.111,0.05,5.04887029686992e-125,"0","ADAM32"
1.0752854553776e-134,1.72365680547726,0.119,0.054,2.15594733803208e-131,"0","LINC01088"
1.05674415284957e-246,1.72142605604979,0.191,0.084,2.11877202646339e-243,"0","XKR4"
9.63047762251083e-137,1.72111708553961,0.11,0.047,1.93091076331342e-133,"0","RP11-146N18.1"
1.0162052903613e-225,1.72077929733802,0.175,0.076,2.03749160717441e-222,"0","NOS1"
4.01838706747333e-160,1.71907701893791,0.132,0.059,8.05686607028403e-157,"0","AC108142.1"
6.74883782318989e-134,1.71711862356852,0.121,0.056,1.35314198354957e-130,"0","AC067956.1"
1.43601884172436e-152,1.71275504015723,0.135,0.062,2.87921777765735e-149,"0","TCF7L1"
0,2.54251218057729,0.25,0.081,0,"1","A2M"
0,2.23062038105476,0.564,0.17,0,"1","GNLY"
2.26281286513888e-142,2.15868984874079,0.144,0.057,4.53693979460346e-139,"1","PZP"
0,2.12051980985997,0.294,0.102,0,"1","FGFBP2"
0,2.07732470500015,0.536,0.168,0,"1","CCL5"
1.62192894385838e-192,2.03530343635661,0.229,0.102,3.25196753243604e-189,"1","IL2RB"
0,1.99137446354718,0.296,0.11,0,"1","GZMH"
5.08529164865851e-178,1.98808426354048,0.214,0.094,1.01960097555603e-174,"1","SPON2"
4.13082222637313e-213,1.98291226037463,0.235,0.101,8.28229856387812e-210,"1","NKG7"
1.44626239536956e-131,1.97965026085702,0.179,0.083,2.89975610271598e-128,"1","GPR56"
0,2.31705692220822,0.363,0.093,0,"2","IFI27"
0,1.72025349866931,0.543,0.183,0,"2","LYZ"
6.9589220954713e-130,1.70543740719477,0.254,0.14,1.395263880142e-126,"2","IFITM3"
8.67064837130183e-41,1.70451557812991,0.149,0.097,1.73846499844602e-37,"2","ISG15"
9.07616754759633e-36,1.65268022435206,0.143,0.095,1.81977159329306e-32,"2","OAS3"
6.68553601572689e-30,1.58689263385054,0.109,0.068,1.34044997115324e-26,"2","IFIT3"
3.21169179890631e-53,1.54517905320086,0.175,0.11,6.43944205680714e-50,"2","CST3"
8.73470098851898e-47,1.52359686729001,0.19,0.128,1.75130754819806e-43,"2","TYMP"
1.69589242423089e-13,1.51956871712668,0.112,0.086,3.40026431058293e-10,"2","KCTD12"
3.14476978943882e-60,1.49337722435997,0.179,0.108,6.30526342782484e-57,"2","SERPINA1"
0,4.32976795705686,0.155,0.007,0,"3","IGHV3-30"
0,3.48121889214646,0.694,0.079,0,"3","IGHG1"
0,3.21305475210554,0.692,0.13,0,"3","IGHM"
0,3.18413398206836,0.401,0.04,0,"3","IGHG3"
0,3.09392265008857,0.499,0.051,0,"3","IGHG4"
0,3.03562555906468,0.484,0.059,0,"3","IGHG2"
0,3.02411113045001,0.485,0.061,0,"3","IGLC2"
0,2.95769893503595,0.17,0.03,0,"3","MZB1"
0,2.90942180130788,0.535,0.063,0,"3","IGJ"
0,2.81896233214323,0.171,0.021,0,"3","IGHA2"
0,6.24992002335865,0.793,0.021,0,"4","MS4A1"
0,5.97769398063307,0.215,0.005,0,"4","TCL1A"
0,5.79128392993548,0.389,0.009,0,"4","LINC00926"
0,5.76458970148463,0.219,0.005,0,"4","FCRLA"
0,5.63002341620909,0.167,0.004,0,"4","SNX22"
0,5.48604878542692,0.511,0.017,0,"4","CD79A"
0,5.38189034913547,0.265,0.009,0,"4","CD19"
0,5.16526373637983,0.441,0.016,0,"4","FCRL1"
0,4.94879514057579,0.193,0.006,0,"4","SPIB"
0,4.84872354495211,0.412,0.01,0,"4","IGHD"
0.000203538070853749,1.11546074147227,0.249,0.257,0.408093832061767,"5","LINC00536"
0.00200186551390222,0.880445728832258,0.082,0.105,1,"5","TPST1"
0.00797689186546471,0.849441602343825,0.083,0.104,1,"5","ADAMTSL3"
0.00132591075520324,0.8312623166942,0.111,0.142,1,"5","AC011288.2"
5.5131137117239e-11,0.809966304810875,0.158,0.232,1.10537929920064e-07,"5","MRPS22"
0.00367703118178099,0.801082924259997,0.107,0.134,1,"5","AC133680.1"
0.000332831247111195,0.798493443592503,0.09,0.118,0.667326650457946,"5","AC005592.2"
6.71758556385561e-05,0.790729546154352,0.087,0.117,0.134687590555305,"5","NHSL1"
0.000630982880866897,0.785981857087573,0.111,0.143,1,"5","GLIS3"
0.0063225467383464,0.767395892923808,0.12,0.149,1,"5","CACNB2"
0,1.82672231478205,0.518,0.153,0,"6","LEF1"
0,1.7543966378387,0.33,0.09,0,"6","CCR7"
0,1.72394954424243,0.552,0.155,0,"6","TCF7"
0,1.47779979153009,0.63,0.193,0,"6","IL7R"
0,1.45946293308151,0.558,0.18,0,"6","LTB"
2.77163034067114e-214,1.44861073930861,0.264,0.095,5.55711883304563e-211,"6","ITGA6"
9.87911223658188e-287,1.2368454661183,0.463,0.205,1.98076200343467e-283,"6","LDHB"
3.46901175278205e-133,1.21700412976642,0.238,0.102,6.95536856432801e-130,"6","TTN"
7.69336565195924e-235,1.09279971863395,0.352,0.139,1.54251981321783e-231,"6","TRAC"
9.93158809415877e-187,1.0606362325751,0.354,0.159,1.99128341287883e-183,"6","THEMIS"
1.74616753871398e-271,1.76468718403135,0.14,0.027,3.50106591512154e-268,"7","LINC00670"
8.08909931133096e-313,1.74630336487083,0.141,0.024,1.62186441192186e-309,"7","GAD2"
1.52626625908991e-246,1.71741510976153,0.131,0.026,3.06016384947527e-243,"7","KIAA1456"
0,1.70404469771175,0.182,0.037,0,"7","IL34"
1.96199610596583e-275,1.68598100121926,0.15,0.03,3.93380219246148e-272,"7","RP11-595B24.1"
0,1.6767730050457,0.269,0.057,0,"7","EML1"
1.89192891362434e-225,1.67422589330457,0.106,0.019,3.7933174718168e-222,"7","SIAH3"
8.71879456303724e-256,1.6657600662,0.133,0.026,1.74811830988897e-252,"7","CTA-481E9.4"
0,1.66028424322065,0.236,0.051,0,"7","ADAMTS3"
9.14381591080092e-279,1.65730535353561,0.157,0.033,1.83333509011558e-275,"7","LGR5"
0,3.2945260846722,0.662,0.072,0,"8","CCR7"
0,2.89139518166337,0.828,0.14,0,"8","TCF7"
0,2.63473377293178,0.762,0.14,0,"8","LEF1"
0,2.60647321527101,0.473,0.084,0,"8","ITGA6"
0,2.30789411013738,0.821,0.183,0,"8","IL7R"
0,2.26261907445793,0.734,0.191,0,"8","LDHB"
0,2.1627041591374,0.749,0.17,0,"8","LTB"
0,2.04987368749878,0.382,0.095,0,"8","TTN"
0,1.97739619921406,0.557,0.128,0,"8","TRAC"
0,1.87939004871008,0.767,0.244,0,"8","TRBC2"
0,3.30943670860625,0.652,0.088,0,"9","CD8A"
0,3.2836795737135,0.456,0.043,0,"9","TRGC2"
0,3.18243959556007,0.186,0.018,0,"9","ZNF683"
0,3.15037255643246,0.334,0.036,0,"9","TRGC1"
0,2.96824845261457,0.692,0.096,0,"9","GZMH"
0,2.77002414112643,0.909,0.16,0,"9","CCL5"
0,2.68769701366976,0.124,0.015,0,"9","LAG3"
1.02059108333148e-273,2.57406069633078,0.11,0.017,2.04628512207962e-270,"9","CCR5"
0,2.39277880216456,0.351,0.058,0,"9","CD8B"
0,2.37345973202122,0.591,0.105,0,"9","IL32"
0,4.41862002631353,0.493,0.026,0,"10","CYP1B1"
0,4.07006156799456,0.499,0.02,0,"10","RNASE2"
0,3.99681123928796,0.14,0.004,0,"10","RNASE1"
0,3.98753034126075,0.224,0.01,0,"10","HP"
0,3.98627787608647,0.738,0.064,0,"10","S100A12"
0,3.960963881194,0.447,0.02,0,"10","C19orf59"
0,3.93789063973052,0.494,0.019,0,"10","SIGLEC1"
0,3.79399068222732,0.206,0.01,0,"10","TMEM176A"
0,3.76102080371596,0.775,0.085,0,"10","IFI27"
0,3.75454125986041,0.85,0.104,0,"10","PLBD1"
2.32039633030365e-77,1.77902753182329,0.281,0.171,4.65239464225883e-74,"11","TCF7"
4.32193219545849e-39,1.73667411811784,0.24,0.169,8.66547405189427e-36,"11","LEF1"
1.14889045313297e-17,1.73141566868387,0.142,0.1,2.30352535853161e-14,"11","CCR7"
1.09040696813933e-131,1.62732595149204,0.374,0.209,2.18626597111936e-128,"11","IL7R"
1.24997993829804e-44,1.46493249860923,0.277,0.196,2.50620977628757e-41,"11","LTB"
0.00107698347659651,1.26361483428869,0.156,0.15,1,"11","TRAC"
3.60313879657623e-19,1.15402927280728,0.302,0.27,7.22429328713534e-16,"11","TRBC2"
3.42887370831061e-33,1.05814760143494,0.451,0.446,6.87489178516277e-30,"11","RPS5"
0.00265831053735851,1.01078157250746,0.098,0.128,1,"11","CD3E"
