"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CTNNA3",0,1.59175394151082,0.506,0.243,0,"0","CTNNA3"
"SDK1",0,1.59563312461241,0.453,0.224,0,"0","SDK1"
"KIAA1217",0,1.60510201899544,0.416,0.199,0,"0","KIAA1217"
"DOCK3",0,1.60088198533189,0.405,0.198,0,"0","DOCK3"
"GALNTL6",0,1.54177168408342,0.401,0.196,0,"0","GALNTL6"
"DLGAP1",0,1.51513237740947,0.406,0.206,0,"0","DLGAP1"
"CALN1",0,1.55424720592872,0.407,0.208,0,"0","CALN1"
"NRG3",0,1.48984390638654,0.395,0.198,0,"0","NRG3"
"LARGE",0,1.51930403986207,0.391,0.195,0,"0","LARGE"
"WBSCR17",0,1.63747828723042,0.368,0.172,0,"0","WBSCR17"
"CNTN4",0,1.55430355953958,0.348,0.164,0,"0","CNTN4"
"CNTNAP5",0,1.51859191586073,0.357,0.179,0,"0","CNTNAP5"
"TRPM3",0,1.51275063701919,0.349,0.175,0,"0","TRPM3"
"ATP8A2",0,1.61831020411351,0.317,0.145,0,"0","ATP8A2"
"CASC15",0,1.56860917360946,0.339,0.169,0,"0","CASC15"
"TTC28",0,1.54517735148845,0.328,0.161,0,"0","TTC28"
"HPSE2",0,1.49055054662772,0.352,0.185,0,"0","HPSE2"
"SUGCT",0,1.51189937552504,0.336,0.17,0,"0","SUGCT"
"SGCD",0,1.45846692901857,0.347,0.181,0,"0","SGCD"
"KSR2",0,1.61831301546113,0.3,0.138,0,"0","KSR2"
"KAZN",0,1.5800092337413,0.308,0.147,0,"0","KAZN"
"PARD3",0,1.38813033555015,0.374,0.213,0,"0","PARD3"
"CSMD2",0,1.61949487488925,0.29,0.129,0,"0","CSMD2"
"CTC-340A15.2",0,1.56126270899508,0.312,0.153,0,"0","CTC-340A15.2"
"ATRNL1",0,1.54770315914481,0.298,0.141,0,"0","ATRNL1"
"CACNA1A",0,1.45191822103731,0.355,0.199,0,"0","CACNA1A"
"SORCS1",0,1.5007758713561,0.317,0.162,0,"0","SORCS1"
"RIMS2",0,1.56112379536865,0.297,0.143,0,"0","RIMS2"
"KIF26B",0,1.5153117619297,0.304,0.151,0,"0","KIF26B"
"PSD3",0,1.58305934233861,0.27,0.126,0,"0","PSD3"
"TENM3",0,1.57828817587319,0.266,0.124,0,"0","TENM3"
"ROR2",0,1.69321183700331,0.255,0.114,0,"0","ROR2"
"MAGI1",1.03753785626662e-321,1.50850069317083,0.307,0.159,2.08026340181457e-318,"0","MAGI1"
"CEP112",4.60434370355075e-314,1.61709145669104,0.282,0.141,9.23170912561926e-311,"0","CEP112"
"CA10",3.89231013477376e-305,1.68140407694153,0.23,0.102,7.80408182022138e-302,"0","CA10"
"NRG1",6.5268285715511e-302,1.33778786845606,0.375,0.229,1.308629128596e-298,"0","NRG1"
"EGLN3",1.36606794790141e-301,1.55650478863371,0.265,0.129,2.73896623554234e-298,"0","EGLN3"
"RGS7",1.16757451112997e-297,1.48211386062107,0.311,0.168,2.34098689481559e-294,"0","RGS7"
"GRIN2A",3.66356280462973e-292,1.62755600526593,0.226,0.101,7.3454434232826e-289,"0","GRIN2A"
"GABRG3",4.67133425111418e-292,1.57658537437198,0.232,0.105,9.36602517348393e-289,"0","GABRG3"
"STXBP5L",2.8706920696289e-287,1.65135434077005,0.233,0.107,5.75573759960594e-284,"0","STXBP5L"
"AC092684.1",7.3741099099651e-286,1.59384964765379,0.23,0.106,1.478509036948e-282,"0","AC092684.1"
"WSCD1",1.12477172231007e-284,1.67122067368254,0.225,0.102,2.25516730323169e-281,"0","WSCD1"
"TLN2",2.66739615495407e-284,1.61138451483143,0.242,0.115,5.34812929068292e-281,"0","TLN2"
"PDE10A",4.49015133846837e-284,1.59743812234133,0.236,0.11,9.00275343362908e-281,"0","PDE10A"
"DNAH14",2.30934471357178e-280,1.6486056086764,0.237,0.112,4.63023615071142e-277,"0","DNAH14"
"FGF12",6.00375989553672e-277,1.47292437517572,0.261,0.131,1.20375385905511e-273,"0","FGF12"
"RELN",2.11224868227237e-269,1.63169596499289,0.219,0.1,4.2350586079561e-266,"0","RELN"
"FGF14",3.78995458299757e-268,1.62993392031721,0.224,0.105,7.59885893891012e-265,"0","FGF14"
"ZNF536",3.99081666082683e-268,1.5225438583746,0.256,0.129,8.0015874049578e-265,"0","ZNF536"
"ENOX1",1.65003243266661e-266,1.49147880683734,0.255,0.128,3.30831502749655e-263,"0","ENOX1"
"COL23A1",3.02566366505503e-263,1.65286753473095,0.21,0.095,6.06645564843533e-260,"0","COL23A1"
"RP4-723E3.1",1.08959270351895e-260,1.59959574800231,0.219,0.102,2.18463337055549e-257,"0","RP4-723E3.1"
"LUZP2",6.16371973808742e-259,1.60166907151732,0.234,0.114,1.23582580748653e-255,"0","LUZP2"
"RP11-526A4.1",8.35462385530651e-257,1.66315216203737,0.194,0.084,1.67510208298895e-253,"0","RP11-526A4.1"
"APBB2",1.63903249100397e-256,1.54453687959881,0.247,0.125,3.28626014446295e-253,"0","APBB2"
"POU6F2",3.76604036845653e-256,1.59050629070209,0.219,0.103,7.55091093875535e-253,"0","POU6F2"
"MALRD1",4.9184926844441e-256,1.5120085645903,0.248,0.126,9.86157783231042e-253,"0","MALRD1"
"PHACTR1",5.4010792510351e-253,1.52685619344395,0.262,0.138,1.08291638983254e-249,"0","PHACTR1"
"FOXP2",6.81145016503904e-252,1.58023657026854,0.224,0.108,1.36569575809033e-248,"0","FOXP2"
"LINGO2",1.26541668098834e-250,1.39603638136912,0.259,0.134,2.53716044538161e-247,"0","LINGO2"
"CUX2",3.69417470426509e-248,1.56538150656206,0.236,0.118,7.40682028205151e-245,"0","CUX2"
